1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=5,rho=0.1,numCities=2152,q_0=0.7,epsilon=0.1
0:7945,0:1389,0:257,0:25,0:1,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.20068
0:8342,0:1858,0:421,0:39,0:1,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.20068
0:8027,0:2777,0:1093,0:171,0:7,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.20068
0:8467,0:2157,0:536,0:46,0:1,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.20068
0:7926,0:1866,0:564,0:48,0:2,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.20068
