1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Test parameters:
#alpha=1,beta=5,rho=0.1,numCities=2152,elitism=2152
0:6,0:6,0:25,0:36,0:42,0:104,0:160,28.8656:14606,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,74.7401,1.18496
0:2,0:9,0:26,0:35,0:73,0:145,0:284,30.0709:78,74.6223:14333,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,119.122,1.16906
0:5,0:5,0:17,0:20,0:37,0:54,0:102,10.3911:14745,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,129.821,1.19414
0:4,0:10,0:6,0:22,0:23,0:45,0:160,25.3332:14714,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,46.372,1.1992
0:7,0:7,0:16,0:23,0:28,0:44,0:189,28.7265:14671,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,54.7557,1.19538
