1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Test parameters:
#alpha=1,beta=5,rho=0.1,numCities=5915,elitism=5915
0:7,0:8,0:18,0:30,0:51,0:2161,122.625:143,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,493.64,1.22345
0:3,0:7,0:23,0:22,0:52,0:171,91.3978:2141,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,140.316,1.22347
0:7,0:8,0:22,0:70,0:205,0:769,73.6794:1335,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,385.313,1.2144
0:3,0:11,0:21,0:14,0:14,0:144,107.964:2207,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,580.999,1.21791
0:7,0:4,0:21,0:14,0:41,0:1420,240.75:913,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,781.196,1.22448
