1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=5,rho=0.1,numCities=3038,q_0=0.7,epsilon=0.1
0:7959,0:790,0:53,0:1,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.24168
0:8237,0:1005,0:54,0:1,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.24168
0:8133,0:921,0:78,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.24168
0:7851,0:688,0:49,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.24168
0:8027,0:1012,0:69,0:2,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.24168
