1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Test parameters:
#alpha=1,beta=5,rho=0.1,numCities=4461,elitism=4461
0:1,0:12,0:26,0:38,0:88,0:151,0:3102,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,339.667,1.22402
0:1,0:15,0:22,0:33,0:141,0:506,0:2705,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,820.37,1.21833
0:3,0:12,0:20,0:32,0:75,0:261,0:3073,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,934.312,1.21041
0:1,0:13,0:18,0:34,0:45,0:165,0:3110,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,574.586,1.22377
0:1,0:13,0:19,0:27,0:46,0:568,0:2722,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,1389.11,1.21977
