1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=5,rho=0.1,numCities=5915,q_0=0.7,epsilon=0.1
0:1139,0:18,0:0,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.22508
0:1082,0:9,0:0,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.22508
0:1305,0:3,0:0,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.22508
0:2502,0:355,0:20,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.22508
0:1838,0:215,0:21,0:1,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.22508
