1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Test parameters:
#alpha=1,beta=5,rho=0.1,numCities=3038,elitism=3038
0:14,0:20,0:32,0:46,0:151,0:1029,379.634:7623,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,500.538,1.22411
0:8,0:22,0:25,0:30,0:66,0:586,195.406:8284,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,195.406,1.22478
0:8,0:30,0:33,0:40,0:107,0:8795,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,176.285,1.23905
0:10,0:16,0:21,0:37,0:54,0:8879,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,113.159,1.23889
0:13,0:22,0:45,0:58,0:89,0:8776,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,-1:0,263.43,1.22533
